被试,交叉验证_训练准确率(%),交叉验证_验证准确率(%),最终模型_训练准确率(%),最终模型_训练F1,最终模型_训练Kappa,实际训练轮次,最终模型_测试准确率(%),最终模型_测试F1,最终模型_测试Kappa
S1,50.25,50.8,50.0,0.3333,0.0,30.0,50.0,0.3333,0.0
S2,50.43,49.91,50.0,0.3333,0.0,30.0,50.0,0.3333,0.0
S3,50.6,50.92,50.0,0.3333,0.0,30.0,50.0,0.3333,0.0
S4,50.02,50.03,50.0,0.3333,0.0,30.0,50.0,0.3333,0.0
S5,50.61,46.84,50.0,0.3333,0.0,30.0,50.0,0.3333,0.0
S6,50.27,53.01,50.0,0.3333,0.0,25.0,50.0,0.3333,0.0
S7,50.91,46.91,50.0,0.3333,0.0,25.0,50.0,0.3333,0.0
S8,50.4,49.01,50.0,0.3333,0.0,40.0,50.0,0.3333,0.0
S9,51.94,46.15,50.0,0.3333,0.0,25.0,50.0,0.3333,0.0
平均,50.6,49.29,50.0,0.3333,0.0,29.4,50.0,0.3333,0.0
