被试,训练准确率(%),训练F1,训练Kappa,验证准确率(%),验证F1,验证Kappa,测试准确率(%),测试F1,测试Kappa
S1,78.86,0.8614,0.7254,65.04,0.6191,0.2548,77.59,0.7753,0.5517
S2,85.32,0.8775,0.7568,67.48,0.6463,0.3165,60.34,0.6005,0.2069
S3,84.44,0.8558,0.7266,67.75,0.6263,0.2945,74.14,0.7413,0.4828
S4,75.38,0.7945,0.6046,63.41,0.5687,0.1945,60.34,0.6033,0.2069
S5,90.13,0.9545,0.9088,85.64,0.8109,0.6253,81.03,0.8098,0.6207
S6,77.45,0.659,0.4122,59.08,0.4906,0.131,65.52,0.6398,0.3103
S7,91.18,0.9498,0.8993,91.33,0.8862,0.7723,89.66,0.8964,0.7931
S8,95.82,0.9799,0.9599,93.5,0.9148,0.8311,87.93,0.8775,0.7586
S9,88.53,0.9667,0.933,81.3,0.7701,0.5596,93.1,0.931,0.8621
平均,85.23,0.8777,0.7696,74.95,0.7037,0.4422,76.63,0.7639,0.5326
