被试,交叉验证_训练准确率(%),交叉验证_验证准确率(%),最终模型_训练准确率(%),最终模型_训练F1,最终模型_训练Kappa,实际训练轮次,最终模型_测试准确率(%),最终模型_测试F1,最终模型_测试Kappa
S1,94.11,89.16,97.83,0.9783,0.9565,50.0,89.66,0.8961,0.7931
S2,80.07,62.92,88.26,0.8814,0.7652,60.0,68.97,0.6705,0.3793
S3,98.31,96.53,99.28,0.9928,0.9855,35.0,94.83,0.9481,0.8966
S4,92.95,82.12,96.52,0.9652,0.9304,60.0,74.14,0.7376,0.4828
S5,92.86,91.33,96.67,0.9667,0.9333,65.0,89.66,0.8964,0.7931
S6,94.42,79.56,98.41,0.9841,0.9681,60.0,81.03,0.8098,0.6207
S7,93.82,92.24,97.54,0.9754,0.9507,60.0,82.76,0.8276,0.6552
S8,98.26,98.72,98.99,0.9899,0.9797,30.0,94.83,0.9481,0.8966
S9,96.67,95.64,98.84,0.9884,0.9768,50.0,89.66,0.8961,0.7931
平均,93.5,87.58,96.92,0.9691,0.9385,52.2,85.06,0.8478,0.7011
