被试,训练准确率(%),训练F1,训练Kappa,验证准确率(%),验证F1,验证Kappa,测试准确率(%),测试F1,测试Kappa
S1,99.17,0.9988,0.9984,67.21,0.624,0.5018,62.93,0.6328,0.5057
S2,99.07,0.9997,0.9995,58.67,0.5539,0.4008,48.28,0.4812,0.3103
S3,99.49,0.9997,0.9997,70.19,0.6648,0.559,68.1,0.6787,0.5747
S4,99.35,0.9997,0.9995,61.92,0.5784,0.4419,58.62,0.5846,0.4483
S5,99.58,0.9998,0.9998,76.56,0.749,0.6656,70.69,0.7015,0.6092
S6,99.26,0.9983,0.9977,60.7,0.5742,0.4306,50.0,0.4944,0.3333
S7,99.58,1.0,1.0,70.6,0.666,0.5593,70.69,0.7093,0.6092
S8,99.71,0.9999,0.9999,78.59,0.7507,0.6673,69.83,0.6963,0.5977
S9,99.46,0.9996,0.9994,75.47,0.7219,0.6275,72.41,0.7163,0.6322
平均,99.41,0.9995,0.9993,68.88,0.6537,0.5393,63.51,0.6328,0.5134
