被试,训练准确率(%),训练F1,训练Kappa,验证准确率(%),验证F1,验证Kappa,测试准确率(%),测试F1,测试Kappa
S1,97.03,0.9991,0.9988,76.56,0.7316,0.6528,64.66,0.6253,0.5287
S2,84.23,0.8915,0.8578,51.22,0.4754,0.3007,44.83,0.4483,0.2644
S3,92.82,0.9174,0.8913,80.49,0.7063,0.6187,76.72,0.7678,0.6897
S4,92.1,0.9777,0.9704,60.03,0.5519,0.407,58.62,0.5869,0.4483
S5,98.12,0.9997,0.9995,71.82,0.6837,0.5812,55.17,0.5412,0.4023
S6,96.21,0.9948,0.993,67.34,0.6505,0.532,60.34,0.5958,0.4713
S7,97.6,0.9991,0.9988,77.64,0.7305,0.6512,63.79,0.6384,0.5172
S8,97.81,0.9995,0.9994,83.2,0.7844,0.7125,68.1,0.6868,0.5747
S9,98.0,0.9993,0.9991,76.42,0.7219,0.6405,65.52,0.6543,0.5402
平均,94.88,0.9753,0.9676,71.64,0.6707,0.5663,61.97,0.6161,0.493
