被试,训练准确率(%),训练F1,训练Kappa,验证准确率(%),验证F1,验证Kappa,测试准确率(%),测试F1,测试Kappa
S1,99.78,0.9998,0.9997,78.32,0.7338,0.469,81.03,0.8098,0.6207
S2,99.76,0.9998,0.9997,72.36,0.6683,0.3433,56.9,0.5583,0.1379
S3,99.76,1.0,1.0,78.59,0.7251,0.4571,74.14,0.7277,0.4828
S4,99.58,0.9995,0.999,78.05,0.6857,0.3779,65.52,0.6485,0.3103
S5,99.92,0.9997,0.9993,93.5,0.8965,0.7932,94.83,0.9483,0.8966
S6,99.75,0.9959,0.9919,77.51,0.7106,0.4246,74.14,0.7376,0.4828
S7,99.95,1.0,1.0,89.97,0.8684,0.7395,94.83,0.9481,0.8966
S8,99.83,0.9998,0.9997,96.21,0.924,0.848,94.83,0.9481,0.8966
S9,99.98,1.0,1.0,89.7,0.8725,0.7454,89.66,0.8964,0.7931
平均,99.81,0.9994,0.9988,83.8,0.7872,0.5776,80.65,0.8025,0.613
