Subject,Model,CV_Train_Acc(%),CV_Val_Acc(%),Test_Acc(%),Test_F1,Test_Kappa,Epochs,Time(min)
S1,PINN-only,50.78,50.1,50.0,0.3333,0.0,30,3.7
S1,CNN-only,94.95,91.71,77.59,0.764,0.5517,65,6.7
S2,PINN-only,50.33,49.08,50.0,0.3333,0.0,25,3.2
S2,CNN-only,82.01,69.08,56.9,0.5678,0.1379,50,4.6
S3,PINN-only,50.99,52.19,50.0,0.3333,0.0,40,3.5
S3,CNN-only,97.95,96.94,96.55,0.9655,0.931,40,4.0
S4,PINN-only,51.76,42.22,50.0,0.3333,0.0,25,3.2
S4,CNN-only,93.3,83.52,82.76,0.8257,0.6552,60,5.9
S5,PINN-only,50.89,51.73,50.0,0.3333,0.0,30,3.3
S5,CNN-only,93.02,90.14,82.76,0.8268,0.6552,65,5.9
S6,PINN-only,51.1,52.58,50.0,0.3333,0.0,25,3.1
S6,CNN-only,93.95,80.87,67.24,0.67,0.3448,80,6.0
S7,PINN-only,51.02,49.04,50.0,0.3333,0.0,25,3.1
S7,CNN-only,93.44,91.28,84.48,0.8437,0.6897,50,5.0
S8,PINN-only,50.67,47.78,50.0,0.3333,0.0,30,3.3
S8,CNN-only,97.97,97.83,91.38,0.9136,0.8276,35,3.6
S9,PINN-only,50.78,55.71,50.0,0.3333,0.0,25,3.2
S9,CNN-only,97.46,96.09,87.93,0.879,0.7586,50,4.6
