被试,交叉验证_训练准确率(%),交叉验证_验证准确率(%),最终模型_训练准确率(%),最终模型_训练F1,最终模型_训练Kappa,实际训练轮次,最终模型_测试准确率(%),最终模型_测试F1,最终模型_测试Kappa
S1,85.49,86.63,95.8,0.9579,0.9159,65.0,84.48,0.8425,0.6897
S2,52.53,50.34,50.0,0.3333,0.0,45.0,50.0,0.3333,0.0
S3,97.61,95.68,99.42,0.9942,0.9884,40.0,98.28,0.9828,0.9655
S4,68.43,63.97,96.38,0.9638,0.9275,55.0,75.86,0.7583,0.5172
S5,71.43,72.87,94.64,0.9464,0.8928,55.0,79.31,0.7921,0.5862
S6,84.24,71.47,95.8,0.9579,0.9159,60.0,68.97,0.6758,0.3793
S7,90.77,89.57,97.68,0.9768,0.9536,60.0,86.21,0.8621,0.7241
S8,98.13,99.13,99.28,0.9928,0.9855,35.0,94.83,0.9483,0.8966
S9,96.97,95.62,98.41,0.9841,0.9681,45.0,91.38,0.9131,0.8276
平均,82.85,80.59,91.93,0.9008,0.8386,51.1,81.03,0.7898,0.6207
