name	type	units	low_cutoff	high_cutoff	sampling_frequency	status
e1	EEG	V	0.1	n/a	8000	good
e2	EEG	V	0.1	n/a	8000	good
e3	EEG	V	0.1	n/a	8000	good
e4	EEG	V	0.1	n/a	8000	good
e5	EEG	V	0.1	n/a	8000	good
e6	EEG	V	0.1	n/a	8000	good
e7	EEG	V	0.1	n/a	8000	good
e8	EEG	V	0.1	n/a	8000	good
e9	EEG	V	0.1	n/a	8000	good
e10	EEG	V	0.1	n/a	8000	good
e11	EEG	V	0.1	n/a	8000	good
e12	EEG	V	0.1	n/a	8000	good
e13	EEG	V	0.1	n/a	8000	good
e14	EEG	V	0.1	n/a	8000	good
e15	EEG	V	0.1	n/a	8000	good
e16	EEG	V	0.1	n/a	8000	good
e17	EEG	V	0.1	n/a	8000	good
e18	EEG	V	0.1	n/a	8000	good
e19	EEG	V	0.1	n/a	8000	good
e20	EEG	V	0.1	n/a	8000	good
e21	EEG	V	0.1	n/a	8000	good
e22	EEG	V	0.1	n/a	8000	good
e23	EEG	V	0.1	n/a	8000	good
e24	EEG	V	0.1	n/a	8000	good
e25	EEG	V	0.1	n/a	8000	good
e26	EEG	V	0.1	n/a	8000	good
e27	EEG	V	0.1	n/a	8000	good
e28	EEG	V	0.1	n/a	8000	good
e29	EEG	V	0.1	n/a	8000	good
e30	EEG	V	0.1	n/a	8000	good
e31	EEG	V	0.1	n/a	8000	good
e32	EEG	V	0.1	n/a	8000	good
e33	EEG	V	0.1	n/a	8000	good
e34	EEG	V	0.1	n/a	8000	good
e35	EEG	V	0.1	n/a	8000	good
e36	EEG	V	0.1	n/a	8000	good
e37	EEG	V	0.1	n/a	8000	bad
e38	EEG	V	0.1	n/a	8000	good
e39	EEG	V	0.1	n/a	8000	good
e40	EEG	V	0.1	n/a	8000	good
e41	EEG	V	0.1	n/a	8000	good
e42	EEG	V	0.1	n/a	8000	good
e43	EEG	V	0.1	n/a	8000	good
e44	EEG	V	0.1	n/a	8000	good
e45	EEG	V	0.1	n/a	8000	good
e46	EEG	V	0.1	n/a	8000	good
e47	EEG	V	0.1	n/a	8000	good
e48	EEG	V	0.1	n/a	8000	good
e49	EEG	V	0.1	n/a	8000	bad
e50	EEG	V	0.1	n/a	8000	good
e51	EEG	V	0.1	n/a	8000	good
e52	EEG	V	0.1	n/a	8000	good
e53	EEG	V	0.1	n/a	8000	good
e54	EEG	V	0.1	n/a	8000	good
e55	EEG	V	0.1	n/a	8000	good
e56	EEG	V	0.1	n/a	8000	good
e57	EEG	V	0.1	n/a	8000	good
e58	EEG	V	0.1	n/a	8000	bad
e59	EEG	V	0.1	n/a	8000	good
e60	EEG	V	0.1	n/a	8000	good
e61	EEG	V	0.1	n/a	8000	good
e62	EEG	V	0.1	n/a	8000	good
e63	EEG	V	0.1	n/a	8000	good
e64	EEG	V	0.1	n/a	8000	good
e65	EEG	V	0.1	n/a	8000	good
e66	EEG	V	0.1	n/a	8000	good
e67	EEG	V	0.1	n/a	8000	good
e68	EEG	V	0.1	n/a	8000	good
e69	EEG	V	0.1	n/a	8000	good
e70	EEG	V	0.1	n/a	8000	good
e71	EEG	V	0.1	n/a	8000	good
e72	EEG	V	0.1	n/a	8000	good
e73	EEG	V	0.1	n/a	8000	good
e74	EEG	V	0.1	n/a	8000	good
e75	EEG	V	0.1	n/a	8000	good
e76	EEG	V	0.1	n/a	8000	good
e77	EEG	V	0.1	n/a	8000	good
e78	EEG	V	0.1	n/a	8000	good
e79	EEG	V	0.1	n/a	8000	good
e80	EEG	V	0.1	n/a	8000	good
e81	EEG	V	0.1	n/a	8000	good
e82	EEG	V	0.1	n/a	8000	good
e83	EEG	V	0.1	n/a	8000	good
e84	EEG	V	0.1	n/a	8000	good
e85	EEG	V	0.1	n/a	8000	good
e86	EEG	V	0.1	n/a	8000	good
e87	EEG	V	0.1	n/a	8000	good
e88	EEG	V	0.1	n/a	8000	good
e89	EEG	V	0.1	n/a	8000	good
e90	EEG	V	0.1	n/a	8000	bad
e91	EEG	V	0.1	n/a	8000	bad
e92	EEG	V	0.1	n/a	8000	bad
e93	EEG	V	0.1	n/a	8000	good
e94	EEG	V	0.1	n/a	8000	good
e95	EEG	V	0.1	n/a	8000	good
e96	EEG	V	0.1	n/a	8000	good
e97	EEG	V	0.1	n/a	8000	good
e98	EEG	V	0.1	n/a	8000	good
e99	EEG	V	0.1	n/a	8000	good
e100	EEG	V	0.1	n/a	8000	good
e101	EEG	V	0.1	n/a	8000	bad
e102	EEG	V	0.1	n/a	8000	bad
e103	EEG	V	0.1	n/a	8000	good
e104	EEG	V	0.1	n/a	8000	good
e105	EEG	V	0.1	n/a	8000	good
e106	EEG	V	0.1	n/a	8000	good
e107	EEG	V	0.1	n/a	8000	good
e108	EEG	V	0.1	n/a	8000	good
e109	EEG	V	0.1	n/a	8000	good
e110	EEG	V	0.1	n/a	8000	bad
e111	EEG	V	0.1	n/a	8000	good
e112	EEG	V	0.1	n/a	8000	good
e113	EEG	V	0.1	n/a	8000	good
e114	EEG	V	0.1	n/a	8000	good
e115	EEG	V	0.1	n/a	8000	good
e116	EEG	V	0.1	n/a	8000	good
e117	EEG	V	0.1	n/a	8000	good
e118	EEG	V	0.1	n/a	8000	good
e119	EEG	V	0.1	n/a	8000	bad
e120	EEG	V	0.1	n/a	8000	good
e121	EEG	V	0.1	n/a	8000	good
e122	EEG	V	0.1	n/a	8000	good
e123	EEG	V	0.1	n/a	8000	good
e124	EEG	V	0.1	n/a	8000	good
e125	EEG	V	0.1	n/a	8000	good
e126	EEG	V	0.1	n/a	8000	good
e127	EEG	V	0.1	n/a	8000	good
e128	EEG	V	0.1	n/a	8000	good
e129	EEG	V	0.1	n/a	8000	good
e130	EEG	V	0.1	n/a	8000	good
e131	EEG	V	0.1	n/a	8000	good
e132	EEG	V	0.1	n/a	8000	good
e133	EEG	V	0.1	n/a	8000	good
e134	EEG	V	0.1	n/a	8000	good
e135	EEG	V	0.1	n/a	8000	good
e136	EEG	V	0.1	n/a	8000	good
e137	EEG	V	0.1	n/a	8000	good
e138	EEG	V	0.1	n/a	8000	good
e139	EEG	V	0.1	n/a	8000	good
e140	EEG	V	0.1	n/a	8000	good
e141	EEG	V	0.1	n/a	8000	good
e142	EEG	V	0.1	n/a	8000	good
e143	EEG	V	0.1	n/a	8000	bad
e144	EEG	V	0.1	n/a	8000	good
e145	EEG	V	0.1	n/a	8000	good
e146	EEG	V	0.1	n/a	8000	good
e147	EEG	V	0.1	n/a	8000	good
e148	EEG	V	0.1	n/a	8000	good
e149	EEG	V	0.1	n/a	8000	good
e150	EEG	V	0.1	n/a	8000	good
e151	EEG	V	0.1	n/a	8000	good
e152	EEG	V	0.1	n/a	8000	good
e153	EEG	V	0.1	n/a	8000	good
e154	EEG	V	0.1	n/a	8000	good
e155	EEG	V	0.1	n/a	8000	good
e156	EEG	V	0.1	n/a	8000	good
e157	EEG	V	0.1	n/a	8000	good
e158	EEG	V	0.1	n/a	8000	good
e159	EEG	V	0.1	n/a	8000	good
e160	EEG	V	0.1	n/a	8000	bad
