name	x	y	z	size	manufacturer	material
K13	0.04385	-0.01153	0.06908	7.5	Dixi Medical	PtIr
K14	0.04679	-0.0109	0.07023	7.5	Dixi Medical	PtIr
N2	0.01166	-0.02955	0.07439	7.5	Dixi Medical	PtIr
N3	0.0153	-0.0297	0.07475	7.5	Dixi Medical	PtIr
N10	0.03939	-0.0311	0.07667	7.5	Dixi Medical	PtIr
N11	0.04326	-0.03125	0.07676	7.5	Dixi Medical	PtIr
S1	0.03305	-0.00328	0.03945	7.5	Dixi Medical	PtIr
S2	0.0365	-0.00344	0.04002	7.5	Dixi Medical	PtIr
S3	0.04016	-0.00357	0.04088	7.5	Dixi Medical	PtIr
S4	0.04337	-0.00376	0.04133	7.5	Dixi Medical	PtIr
S5	0.04681	-0.00392	0.04198	7.5	Dixi Medical	PtIr
S6	0.05049	-0.00395	0.04267	7.5	Dixi Medical	PtIr
