name	x	y	z	material
e1	0.07227	0.0453	0.00919	HydroCel CleanLeads
e2	0.06985	0.05531	0.03155	HydroCel CleanLeads
e3	0.06404	0.06202	0.05336	HydroCel CleanLeads
e4	0.05031	0.06792	0.07096	HydroCel CleanLeads
e5	0.03999	0.06039	0.08593	HydroCel CleanLeads
e6	0.03471	0.05401	0.0992	HydroCel CleanLeads
e7	0.01855	0.04313	0.10874	HydroCel CleanLeads
e8	0.00403	0.02436	0.1136	HydroCel CleanLeads
e9	-0.00554	0.00299	0.12293	HydroCel CleanLeads
e10	0.0696	0.06916	0.0282	HydroCel CleanLeads
e11	0.06001	0.07293	0.03595	HydroCel CleanLeads
e12	0.04538	0.07845	0.06075	HydroCel CleanLeads
e13	0.03072	0.07626	0.07651	HydroCel CleanLeads
e14	0.02146	0.06703	0.09019	HydroCel CleanLeads
e15	0.0063	0.05513	0.10439	HydroCel CleanLeads
e16	-0.00715	0.04137	0.10873	HydroCel CleanLeads
e17	-0.0182	0.02037	0.11099	HydroCel CleanLeads
e18	0.04372	0.08837	0.03148	HydroCel CleanLeads
e19	0.03442	0.08969	0.04756	HydroCel CleanLeads
e20	0.01933	0.08974	0.06289	HydroCel CleanLeads
e21	0.009	0.08056	0.08076	HydroCel CleanLeads
e22	-0.00382	0.06861	0.09343	HydroCel CleanLeads
e23	-0.01848	0.05391	0.09983	HydroCel CleanLeads
e24	-0.03043	0.03698	0.10683	HydroCel CleanLeads
e25	0.01795	0.10208	0.03468	HydroCel CleanLeads
e26	0.00406	0.09778	0.04924	HydroCel CleanLeads
e27	-0.00313	0.09123	0.06624	HydroCel CleanLeads
e28	-0.01674	0.07807	0.08122	HydroCel CleanLeads
e29	-0.02795	0.06442	0.08975	HydroCel CleanLeads
e30	-0.03759	0.04676	0.09475	HydroCel CleanLeads
e31	0.00133	0.10668	0.02243	HydroCel CleanLeads
e32	-0.00789	0.10379	0.0411	HydroCel CleanLeads
e33	-0.02222	0.08877	0.05737	HydroCel CleanLeads
e34	-0.0353	0.08384	0.0685	HydroCel CleanLeads
e35	-0.04205	0.07304	0.07502	HydroCel CleanLeads
e36	-0.04861	0.05769	0.08321	HydroCel CleanLeads
e37	-0.04472	0.0913	0.04409	HydroCel CleanLeads
e38	-0.05539	0.0779	0.04841	HydroCel CleanLeads
e39	-0.05812	0.07134	0.06013	HydroCel CleanLeads
e40	-0.06176	0.056	0.06812	HydroCel CleanLeads
e41	-0.06051	0.04168	0.08034	HydroCel CleanLeads
e42	-0.0545	0.03046	0.09246	HydroCel CleanLeads
e43	-0.0504	0.0181	0.10406	HydroCel CleanLeads
e44	-0.0361	0.0026	0.11073	HydroCel CleanLeads
e45	-0.01963	-0.01326	0.11797	HydroCel CleanLeads
e46	-0.06521	0.07224	0.03461	HydroCel CleanLeads
e47	-0.07005	0.06032	0.04214	HydroCel CleanLeads
e48	-0.07028	0.04643	0.05254	HydroCel CleanLeads
e49	-0.07215	0.03565	0.06233	HydroCel CleanLeads
e50	-0.06961	0.0236	0.08043	HydroCel CleanLeads
e51	-0.06316	0.01267	0.09061	HydroCel CleanLeads
e52	-0.06272	0.00085	0.09912	HydroCel CleanLeads
e53	-0.03783	-0.01986	0.11161	HydroCel CleanLeads
e54	-0.07745	0.04825	0.01973	HydroCel CleanLeads
e55	-0.07634	0.03551	0.03335	HydroCel CleanLeads
e56	-0.07774	0.02586	0.04939	HydroCel CleanLeads
e57	-0.07744	0.01359	0.06041	HydroCel CleanLeads
e58	-0.07406	0.00254	0.07398	HydroCel CleanLeads
e59	-0.07019	-0.00955	0.08803	HydroCel CleanLeads
e60	-0.05905	-0.02896	0.10235	HydroCel CleanLeads
e61	-0.07857	0.02837	0.01867	HydroCel CleanLeads
e62	-0.08123	0.01393	0.02665	HydroCel CleanLeads
e63	-0.08418	0.00137	0.03956	HydroCel CleanLeads
e64	-0.08149	-0.00896	0.05158	HydroCel CleanLeads
e65	-0.07733	-0.01676	0.06903	HydroCel CleanLeads
e66	-0.06784	-0.03032	0.08652	HydroCel CleanLeads
e67	-0.08404	0.01943	-0.00362	HydroCel CleanLeads
e68	-0.08324	0.00558	0.011	HydroCel CleanLeads
e69	-0.08255	-0.01403	0.02246	HydroCel CleanLeads
e70	-0.08226	-0.02089	0.03325	HydroCel CleanLeads
