name	x	y	z	size	manufacturer	material
O1	0.00403	-0.06953	0.01943	7.5	Dixi Medical	PtIr
O2	0.00876	-0.06932	0.01626	7.5	Dixi Medical	PtIr
O9	0.03281	-0.07334	0.01375	7.5	Dixi Medical	PtIr
O10	0.03625	-0.07392	0.01339	7.5	Dixi Medical	PtIr
P1	-0.00123	-0.05181	0.04262	7.5	Dixi Medical	PtIr
P2	0.00481	-0.05117	0.04097	7.5	Dixi Medical	PtIr
P8	0.02538	-0.05468	0.04341	7.5	Dixi Medical	PtIr
P9	0.02881	-0.05527	0.04382	7.5	Dixi Medical	PtIr
P12	0.03909	-0.05702	0.04504	7.5	Dixi Medical	PtIr
P13	0.04252	-0.05761	0.04545	7.5	Dixi Medical	PtIr
W'2	-0.03588	-0.0243	0.02014	7.5	Dixi Medical	PtIr
W'3	-0.03948	-0.02399	0.02018	7.5	Dixi Medical	PtIr
W'7	-0.05339	-0.02214	0.01933	7.5	Dixi Medical	PtIr
W'8	-0.0568	-0.02177	0.01932	7.5	Dixi Medical	PtIr
