name	x	y	z	size	manufacturer	material
G'8	-0.04028	0.05171	0.01671	7.5	Dixi Medical	PtIr
G'9	-0.04147	0.0522	0.02036	7.5	Dixi Medical	PtIr
H'2	-0.00403	0.02784	0.02733	7.5	Dixi Medical	PtIr
H'3	-0.00859	0.03031	0.02876	7.5	Dixi Medical	PtIr
H'8	-0.02927	0.03874	0.03746	7.5	Dixi Medical	PtIr
H'9	-0.033	0.04001	0.03786	7.5	Dixi Medical	PtIr
X'2	-0.00799	0.04895	-0.02689	7.5	Dixi Medical	PtIr
X'3	-0.00812	0.04929	-0.02274	7.5	Dixi Medical	PtIr
X'6	-0.01032	0.0511	-0.00938	7.5	Dixi Medical	PtIr
X'7	-0.01007	0.05192	-0.00309	7.5	Dixi Medical	PtIr
X'14	-0.0099	0.05545	0.03519	7.5	Dixi Medical	PtIr
X'15	-0.00977	0.05534	0.04017	7.5	Dixi Medical	PtIr
Y'1	-0.00426	0.02911	0.04372	7.5	Dixi Medical	PtIr
Y'2	-0.00779	0.03088	0.04575	7.5	Dixi Medical	PtIr
Y'5	-0.02133	0.03586	0.05206	7.5	Dixi Medical	PtIr
Y'6	-0.02487	0.03605	0.05213	7.5	Dixi Medical	PtIr
