name	x	y	z	size	manufacturer	material
G'8	-0.0245	0.04888	0.04368	7.5	Dixi Medical	PtIr
G'9	-0.0258	0.04937	0.04664	7.5	Dixi Medical	PtIr
H'2	0.00299	0.02834	0.04871	7.5	Dixi Medical	PtIr
H'3	-0.00054	0.02994	0.04946	7.5	Dixi Medical	PtIr
H'8	-0.01617	0.03432	0.05374	7.5	Dixi Medical	PtIr
H'9	-0.01911	0.03543	0.05474	7.5	Dixi Medical	PtIr
X'2	0.00046	0.05401	0.01191	7.5	Dixi Medical	PtIr
X'3	0.00046	0.05349	0.01575	7.5	Dixi Medical	PtIr
X'6	-0.00054	0.05191	0.02668	7.5	Dixi Medical	PtIr
X'7	-0.00054	0.05139	0.03071	7.5	Dixi Medical	PtIr
X'14	0.00046	0.04772	0.05501	7.5	Dixi Medical	PtIr
X'15	0.00046	0.04728	0.0586	7.5	Dixi Medical	PtIr
Y'1	0.00228	0.02629	0.05939	7.5	Dixi Medical	PtIr
Y'2	-0.00062	0.02706	0.06016	7.5	Dixi Medical	PtIr
Y'5	-0.01046	0.02971	0.06315	7.5	Dixi Medical	PtIr
Y'6	-0.01327	0.03048	0.06418	7.5	Dixi Medical	PtIr
